# ra,dec,mag,mag_error
129.805385,18.407347,19.9939,0.004441
129.644884,18.311296,19.1566,0.002711
129.614285,18.312549,19.9760,0.004919
129.612899,18.358523,15.8629,0.000424
129.664958,18.396519,20.6574,0.011807
129.743175,18.436032,20.2772,0.005849
129.741691,18.483768,17.3395,0.000981
130.046642,18.240216,21.0916,0.039889
130.088634,18.265263,20.5613,0.014260
130.105744,18.307229,19.6243,0.003790
130.175921,18.332965,14.1546,0.000282
130.137350,18.321074,16.3793,0.000502
130.204623,18.359334,20.0673,0.005724
130.168510,18.368147,20.7351,0.012314
130.085936,18.411849,20.7015,0.010949
130.157299,18.133087,20.7840,0.014262
130.112840,18.172426,21.1024,0.016865
130.052214,18.159052,19.5336,0.003696
130.402474,18.162510,19.1383,0.002409
130.682710,18.270452,20.5329,0.006228
130.588184,18.239050,20.6895,0.007960
130.187448,18.129000,18.8107,0.002419
130.219139,18.153344,21.0521,0.020658
130.425348,18.208260,17.8504,0.000997
130.372292,18.230919,21.3167,0.020042
130.341263,18.242633,19.5164,0.003119
130.194428,18.173006,14.6763,0.000266
130.169839,18.190989,20.4611,0.008592
130.116313,18.213883,15.6983,0.000424
130.306359,18.300645,21.5810,0.048220
130.252521,18.336524,15.2676,0.000295
130.269995,18.345382,20.1401,0.005432
130.392143,18.274131,21.6475,0.036654
130.373378,18.263848,20.8034,0.013240
130.364349,18.296243,21.1136,0.034359
130.385789,18.314298,19.1454,0.002409
130.532306,18.377141,20.2063,0.004572
130.533000,18.417482,15.9756,0.000404
130.380582,18.323333,15.6847,0.000349
130.369439,18.372129,17.5828,0.001179
130.347986,18.394055,20.8745,0.016413
130.333552,18.435139,20.8816,0.013979
130.476054,18.479540,21.0860,0.011294
130.399352,18.486707,18.0337,0.001126
129.715840,18.153936,19.1669,0.002779
129.718635,18.158594,20.2347,0.016065
129.742625,18.170265,20.7419,0.013357
129.723745,18.190040,20.5681,0.009013
129.727698,18.193985,20.6587,0.008295
130.046687,18.229307,18.5615,0.002041
130.030183,18.249474,20.3541,0.020115
130.018246,18.262515,20.5840,0.011796
129.987113,18.256398,20.5341,0.008219
129.816414,18.146818,20.4685,0.007649
129.829045,18.144573,21.0829,0.020917
129.880820,18.224290,20.7518,0.012459
129.856758,18.227696,20.9734,0.015365
129.861544,18.232330,19.8697,0.004683
129.735261,18.216521,18.3700,0.002525
129.901054,18.250393,16.9063,0.000880
129.901571,18.270604,20.9471,0.015376
129.973847,18.286602,17.9561,0.001247
129.875090,18.281600,18.6310,0.001929
129.879462,18.334612,20.7091,0.013084
129.622221,18.156533,17.3725,0.000905
129.689653,18.196115,17.4567,0.001470
129.628392,18.244216,17.9833,0.001217
129.550548,18.229616,18.5021,0.003653
129.579058,18.239804,21.5884,0.034396
129.524680,18.288778,19.5541,0.004521
129.505591,18.309141,19.8684,0.006138
129.685384,18.255766,19.2453,0.002939
129.665394,18.296175,20.3583,0.006204
129.711465,18.310920,17.8204,0.001267
129.719433,18.323298,20.9573,0.021330
129.808579,18.340644,19.0116,0.002673
129.627116,18.377246,16.6601,0.000850
